2023-10-16/18:38:08		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:08		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:08		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:08		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:08		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:08		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:09		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:09		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:09		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:09		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:09		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:09		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:10		 wafer_16012020_051629.csv: File loaded successfully!!
2023-10-16/18:38:10		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:10		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:10		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:10		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:11		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:11		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:11		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:11		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:11		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:12		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:12		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:12		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:12		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:12		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:13		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:13		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:13		 wafer_20022020_090716.csv: File loaded successfully!!
2023-10-16/18:38:13		 wafer_20022020_090716.csv: File loaded successfully!!
